PlateID,Row,Column,Organism,Species,Genotype,Tissue,Comments
1,H,10,Cassava,Manihot Mill.,DS120xT14_80,leaf,none
1,A,11,Cassava,Manihot Mill.,DS120xT14_81,leaf,none
1,B,11,Cassava,Manihot Mill.,DS120xT14_82,leaf,none
1,C,11,Cassava,Manihot Mill.,DS120xT14_83,leaf,none
1,D,11,Cassava,Manihot Mill.,DS120xT14_84,leaf,none
1,E,11,Cassava,Manihot Mill.,DS120xT14_85,leaf,none
1,F,11,Cassava,Manihot Mill.,DS120xT14_86,leaf,none
1,G,11,Cassava,Manihot Mill.,DS120xT14_87,leaf,none
1,H,11,Cassava,Manihot Mill.,DS120xT14_88,leaf,none
1,A,12,Cassava,Manihot Mill.,DS120xT14_89,leaf,none
1,B,12,Cassava,Manihot Mill.,DS120xT14_90,leaf,none
1,C,12,Cassava,Manihot Mill.,DS120xT14_91,leaf,none
1,D,12,Cassava,Manihot Mill.,DS120xT14_92,leaf,none
1,E,12,Cassava,Manihot Mill.,DS120xT14_93,leaf,none
1,F,12,Cassava,Manihot Mill.,DS120xT14_94,leaf,none
2,A,1,Cassava,Manihot Mill.,DS120xT14_97,leaf,none
2,B,1,Cassava,Manihot Mill.,DS120xT14_98,leaf,none
2,C,1,Cassava,Manihot Mill.,DS120xT14_99,leaf,none
2,D,1,Cassava,Manihot Mill.,DS120xT14_100,leaf,none
2,E,1,Cassava,Manihot Mill.,DS120xT14_101,leaf,none
2,F,1,Cassava,Manihot Mill.,DS120xT14_102,leaf,none
2,G,1,Cassava,Manihot Mill.,DS120xT14_103,leaf,none
2,H,1,Cassava,Manihot Mill.,DS120xT14_104,leaf,none
2,A,2,Cassava,Manihot Mill.,DS120xT14_105,leaf,none
2,B,2,Cassava,Manihot Mill.,DS120xT14_106,leaf,none
2,C,2,Cassava,Manihot Mill.,DS120xT14_107,leaf,none
2,D,2,Cassava,Manihot Mill.,DS120xT14_108,leaf,none
2,E,2,Cassava,Manihot Mill.,DS120xT14_109,leaf,none
2,F,2,Cassava,Manihot Mill.,DS120xT14_110,leaf,none
2,G,2,Cassava,Manihot Mill.,DS120xT14_111,leaf,none
2,H,2,Cassava,Manihot Mill.,DS120xT14_112,leaf,none
2,A,3,Cassava,Manihot Mill.,DS120xT14_113,leaf,none
2,B,3,Cassava,Manihot Mill.,DS120xT14_114,leaf,none
2,C,3,Cassava,Manihot Mill.,DS120xT14_115,leaf,none
2,D,3,Cassava,Manihot Mill.,DS120xT14_116,leaf,none
2,E,3,Cassava,Manihot Mill.,DS120xT14_117,leaf,none
2,F,3,Cassava,Manihot Mill.,DS120xT14_118,leaf,none
2,G,3,Cassava,Manihot Mill.,DS120xT14_119,leaf,none
2,H,3,Cassava,Manihot Mill.,DS120xT14_120,leaf,none
2,A,4,Cassava,Manihot Mill.,DS120xT14_121,leaf,none
2,B,4,Cassava,Manihot Mill.,DS120xT14_122,leaf,none
2,C,4,Cassava,Manihot Mill.,DS120xT14_123,leaf,none
2,D,4,Cassava,Manihot Mill.,DS120xT14_124,leaf,none
2,E,4,Cassava,Manihot Mill.,DS120xT14_125,leaf,none
2,F,4,Cassava,Manihot Mill.,DS120xT14_126,leaf,none
2,G,4,Cassava,Manihot Mill.,DS120xT14_127,leaf,none
2,H,4,Cassava,Manihot Mill.,DS120xT14_128,leaf,none
2,A,5,Cassava,Manihot Mill.,DS120xT14_129,leaf,none
2,B,5,Cassava,Manihot Mill.,DS120xT14_130,leaf,none
2,C,5,Cassava,Manihot Mill.,DS120xT14_131,leaf,none
2,D,5,Cassava,Manihot Mill.,DS120xT14_132,leaf,none
2,E,5,Cassava,Manihot Mill.,DS120xT14_133,leaf,none
2,F,5,Cassava,Manihot Mill.,DS120xT14_134,leaf,none
2,G,5,Cassava,Manihot Mill.,DS120xT14_135,leaf,none
2,H,5,Cassava,Manihot Mill.,DS120xT14_136,leaf,none
2,A,6,Cassava,Manihot Mill.,DS120xT14_137,leaf,none
2,B,6,Cassava,Manihot Mill.,DS120xT14_138,leaf,none
2,C,6,Cassava,Manihot Mill.,DS120xT14_139,leaf,none
2,D,6,Cassava,Manihot Mill.,DS120xT14_140,leaf,none
2,E,6,Cassava,Manihot Mill.,DS120xT14_141,leaf,none
2,F,6,Cassava,Manihot Mill.,DS120xT14_142,leaf,none
2,G,6,Cassava,Manihot Mill.,DS120xT14_143,leaf,none
2,H,6,Cassava,Manihot Mill.,DS120xT14_144,leaf,none
2,A,7,Cassava,Manihot Mill.,DS120xT14_145,leaf,none
2,B,7,Cassava,Manihot Mill.,DS120xT14_146,leaf,none
2,C,7,Cassava,Manihot Mill.,DS120xT14_147,leaf,none
2,D,7,Cassava,Manihot Mill.,DS120xT14_148,leaf,none
2,E,7,Cassava,Manihot Mill.,DS120xT14_149,leaf,none
2,F,7,Cassava,Manihot Mill.,DS120xT14_150,leaf,none
2,G,7,Cassava,Manihot Mill.,DS120xT14_151,leaf,none
2,H,7,Cassava,Manihot Mill.,DS120xT14_152,leaf,none
2,A,8,Cassava,Manihot Mill.,DS120xT14_153,leaf,none
2,B,8,Cassava,Manihot Mill.,DS120xT14_154,leaf,none
2,C,8,Cassava,Manihot Mill.,DS120xT14_155,leaf,none
2,D,8,Cassava,Manihot Mill.,DS120xT14_156,leaf,none
2,E,8,Cassava,Manihot Mill.,DS120xT14_157,leaf,none
2,F,8,Cassava,Manihot Mill.,DS120xT14_158,leaf,none
2,G,8,Cassava,Manihot Mill.,DS120xT14_159,leaf,none
2,H,8,Cassava,Manihot Mill.,DS120xT14_160,leaf,none
2,A,9,Cassava,Manihot Mill.,DS120xT14_161,leaf,none
2,B,9,Cassava,Manihot Mill.,DS120xT14_162,leaf,none
2,C,9,Cassava,Manihot Mill.,DS120xT14_163,leaf,none
2,D,9,Cassava,Manihot Mill.,DS120xT14_164,leaf,none
2,E,9,Cassava,Manihot Mill.,DS120xT14_165,leaf,none
2,F,9,Cassava,Manihot Mill.,DS120xT14_166,leaf,none
2,G,9,Cassava,Manihot Mill.,DS120xT14_167,leaf,none
2,H,9,Cassava,Manihot Mill.,DS120xT14_168,leaf,none
2,A,10,Cassava,Manihot Mill.,DS120xT14_169,leaf,none
2,B,10,Cassava,Manihot Mill.,DS120xT14_170,leaf,none
2,C,10,Cassava,Manihot Mill.,DS120xT14_171,leaf,none
2,D,10,Cassava,Manihot Mill.,DS120xT14_172,leaf,none
2,E,10,Cassava,Manihot Mill.,DS120xT14_173,leaf,none
2,F,10,Cassava,Manihot Mill.,DS120xT14_174,leaf,none
2,G,10,Cassava,Manihot Mill.,DS120xT14_175,leaf,none
2,H,10,Cassava,Manihot Mill.,DS120xT14_176,leaf,none
2,A,11,Cassava,Manihot Mill.,DS120xT14_177,leaf,none
2,B,11,Cassava,Manihot Mill.,DS120xT14_178,leaf,none
2,C,11,Cassava,Manihot Mill.,DS120xT14_179,leaf,none
2,D,11,Cassava,Manihot Mill.,DS120xT14_180,leaf,none
2,E,11,Cassava,Manihot Mill.,DS120xT14_181,leaf,none
2,F,11,Cassava,Manihot Mill.,DS120xT14_182,leaf,none
2,G,11,Cassava,Manihot Mill.,DS120xT14_183,leaf,none
2,H,11,Cassava,Manihot Mill.,DS120xT14_184,leaf,none
2,A,12,Cassava,Manihot Mill.,DS120xT14_185,leaf,none
2,B,12,Cassava,Manihot Mill.,DS120xT14_186,leaf,none
2,C,12,Cassava,Manihot Mill.,DS120xT14_187,leaf,none
2,D,12,Cassava,Manihot Mill.,DS120xT14_188,leaf,none
2,E,12,Cassava,Manihot Mill.,DS120xT14_189,leaf,none
2,F,12,Cassava,Manihot Mill.,DS120xT14_190,leaf,none
3,A,1,Cassava,Manihot Mill.,DS120xT14_193,leaf,none
3,B,1,Cassava,Manihot Mill.,DS120xT14_194,leaf,none
3,C,1,Cassava,Manihot Mill.,DS120xT14_195,leaf,none
3,D,1,Cassava,Manihot Mill.,DS120xT14_196,leaf,none
3,E,1,Cassava,Manihot Mill.,DS120xT14_197,leaf,none
3,F,1,Cassava,Manihot Mill.,DS120xT14_198,leaf,none
3,G,1,Cassava,Manihot Mill.,DS120xT14_199,leaf,none
3,H,1,Cassava,Manihot Mill.,DS120xT14_200,leaf,none
3,A,2,Cassava,Manihot Mill.,DS120xT14_201,leaf,none
3,B,2,Cassava,Manihot Mill.,DS120xT14_202,leaf,none
3,C,2,Cassava,Manihot Mill.,DS120xT14_203,leaf,none
3,D,2,Cassava,Manihot Mill.,DS120xT14_204,leaf,none
3,E,2,Cassava,Manihot Mill.,DS120xT14_205,leaf,none
3,F,2,Cassava,Manihot Mill.,DS120xT14_206,leaf,none
3,G,2,Cassava,Manihot Mill.,DS120xT14_207,leaf,none
3,H,2,Cassava,Manihot Mill.,DS120xT14_208,leaf,none
